feature,metadata,value,coef,stderr,N,N.not.0,pval,ref_value,pval.adj
Burkholderia__sp.__MSMB0856,Control_type,Paraffin,-0.594105577889279,0.309352468812697,262,29,0.0559080403195675,Buffer,0.1734096843810314
Cloacibacterium__caeni,Control_type,Paraffin,-1.11134975831419,0.579628105629611,262,44,0.0563063949961762,Buffer,0.17395661633339699
Enterococcus__faecalis,Control_type,Paraffin,-1.17181819803901,0.611811128726618,262,61,0.0565649987886815,Buffer,0.17434091043763864
Coprococcus__eutactus,Control_type,Paraffin,-0.63959091422171,0.334654041911233,262,40,0.0570955762651359,Buffer,0.17560488162218268
Sphingomonas__panacisoli,Control_type,Paraffin,1.46641764158643,0.767998944297122,262,177,0.0573282894176919,Buffer,0.17597916875544212
Streptococcus__oriscaviae,Control_type,Paraffin,-0.672520097123212,0.35243623772868,262,33,0.0574835053008587,Buffer,0.17597916875544212
Peptostreptococcus__equinus,Control_type,Paraffin,-1.54848236948385,0.811641395431388,262,53,0.0575306511061281,Buffer,0.17597916875544212
Streptococcus__constellatus,Control_type,Paraffin,-1.07218625356852,0.562368909037291,262,88,0.0576980881165384,Buffer,0.17597916875544212
Streptococcus__merionis,Control_type,Paraffin,-0.739394616377965,0.387738191803169,262,48,0.0576473531270658,Buffer,0.17597916875544212
Diaphorobacter__nitroreducens,Control_type,Paraffin,-1.17319439962187,0.615583948034559,262,38,0.0577931700516126,Buffer,0.17602468992141646
Streptococcus__sp.__29892,Control_type,Paraffin,-0.707361243227554,0.372970765294433,262,35,0.0590118295642279,Buffer,0.17849859190501993
Croceicoccus__sp.__YJ47,Control_type,Paraffin,0.700462352566123,0.369610679356264,262,44,0.059201027615391,Buffer,0.1788245620954589
Sphingorhabdus__lutea,Control_type,Paraffin,0.786341085210989,0.415565600538059,262,57,0.0595901585757117,Buffer,0.1792602578524149
